suicides,age,period,cohort,sex,country
0,10,2007,1997,male,Antigua and Barbuda
0,64,2007,1943,male,Antigua and Barbuda
0,75,2007,1932,male,Antigua and Barbuda
0,20,2008,1988,female,Antigua and Barbuda
0,30,2008,1978,female,Antigua and Barbuda
0,44,2008,1964,female,Antigua and Barbuda
0,10,2008,1998,female,Antigua and Barbuda
0,64,2008,1944,female,Antigua and Barbuda
0,75,2008,1933,female,Antigua and Barbuda
0,20,2008,1988,male,Antigua and Barbuda
0,30,2008,1978,male,Antigua and Barbuda
0,44,2008,1964,male,Antigua and Barbuda
0,10,2008,1998,male,Antigua and Barbuda
0,64,2008,1944,male,Antigua and Barbuda
0,75,2008,1933,male,Antigua and Barbuda
0,20,2009,1989,female,Antigua and Barbuda
0,30,2009,1979,female,Antigua and Barbuda
0,44,2009,1965,female,Antigua and Barbuda
0,10,2009,1999,female,Antigua and Barbuda
0,64,2009,1945,female,Antigua and Barbuda
0,75,2009,1934,female,Antigua and Barbuda
0,20,2009,1989,male,Antigua and Barbuda
0,30,2009,1979,male,Antigua and Barbuda
0,44,2009,1965,male,Antigua and Barbuda
0,10,2009,1999,male,Antigua and Barbuda
0,64,2009,1945,male,Antigua and Barbuda
0,75,2009,1934,male,Antigua and Barbuda
0,20,2012,1992,female,Antigua and Barbuda
0,30,2012,1982,female,Antigua and Barbuda
0,44,2012,1968,female,Antigua and Barbuda
0,10,2012,2002,female,Antigua and Barbuda
0,64,2012,1948,female,Antigua and Barbuda
0,75,2012,1937,female,Antigua and Barbuda
0,20,2012,1992,male,Antigua and Barbuda
0,30,2012,1982,male,Antigua and Barbuda
0,44,2012,1968,male,Antigua and Barbuda
0,10,2012,2002,male,Antigua and Barbuda
0,64,2012,1948,male,Antigua and Barbuda
0,75,2012,1937,male,Antigua and Barbuda
0,20,2013,1993,female,Antigua and Barbuda
0,30,2013,1983,female,Antigua and Barbuda
0,44,2013,1969,female,Antigua and Barbuda
0,10,2013,2003,female,Antigua and Barbuda
0,64,2013,1949,female,Antigua and Barbuda
0,75,2013,1938,female,Antigua and Barbuda
0,20,2013,1993,male,Antigua and Barbuda
0,30,2013,1983,male,Antigua and Barbuda
0,44,2013,1969,male,Antigua and Barbuda
0,10,2013,2003,male,Antigua and Barbuda
0,64,2013,1949,male,Antigua and Barbuda
0,75,2013,1938,male,Antigua and Barbuda
